Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,April precipitation,August minimum temperature,October precipitation
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,13
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,19
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,22
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,22
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,22
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,22
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,22
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,22
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,14,7,22
146,157,50,5823,309,-4,313,100,204,218,70,135,19,7,26,47,27,28,37,16,-10,22
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,22
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,22
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,22
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,28
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,16
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,12
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,12
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,16,-10,12
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,17,1,12
112,124,47,5094,251,-10,261,48,170,174,44,175,27,8,40,73,26,28,61,17,1,12
112,124,47,5094,251,-10,261,48,170,174,44,175,27,8,40,73,26,28,61,17,1,12
112,124,47,5094,251,-10,261,48,170,174,44,175,27,8,40,73,26,28,61,17,1,12
112,124,47,5094,251,-10,261,48,170,174,44,175,27,8,40,73,26,28,61,17,1,12
112,124,47,5094,251,-10,261,48,170,174,44,175,27,8,40,73,26,28,61,17,1,12
112,124,47,5094,251,-10,261,48,170,174,44,175,27,8,40,73,26,28,61,17,1,12
112,124,47,5094,251,-10,261,48,170,174,44,175,27,8,40,73,26,28,61,15,9,12
119,125,48,5051,254,-4,258,56,131,180,52,162,24,9,34,62,28,31,51,15,10,12
121,125,48,5057,255,-3,258,57,132,182,53,162,24,9,34,62,28,31,51,15,9,9
119,125,48,5051,254,-4,258,56,131,180,52,162,24,9,34,62,28,31,51,15,9,8
119,125,48,5051,254,-4,258,56,131,180,52,162,24,9,34,62,28,31,51,36,41,8
173,148,53,4539,308,30,279,225,112,227,112,688,108,8,69,317,29,302,29,54,13,8
130,133,47,5050,293,12,281,190,67,196,67,708,90,29,26,220,116,197,116,52,38,8
168,140,50,4764,306,30,276,222,103,225,103,721,114,12,63,320,40,280,40,21,46,8
188,156,50,5475,330,19,311,238,140,251,115,366,72,7,71,191,24,155,25,21,46,8
188,156,50,5475,330,19,311,238,140,251,115,366,72,7,71,191,24,155,25,21,46,79
188,156,50,5475,330,19,311,238,140,251,115,366,72,7,71,191,24,155,25,21,46,92
188,156,50,5475,330,19,311,238,140,251,115,366,72,7,71,191,24,155,25,21,46,77
188,156,50,5475,330,19,311,238,140,251,115,366,72,7,71,191,24,155,25,21,46,18
188,156,50,5475,330,19,311,238,140,251,115,366,72,7,71,191,24,155,25,21,46,18
188,156,50,5475,330,19,311,238,140,251,115,366,72,7,71,191,24,155,25,21,72,18
208,141,48,5133,342,52,290,267,137,267,137,391,71,4,77,199,12,199,12,21,72,18
208,141,48,5133,342,52,290,267,137,267,137,391,71,4,77,199,12,199,12,17,-1,18
144,167,51,5882,314,-9,324,192,87,216,67,222,29,10,29,79,37,58,38,21,0,18
152,171,51,5967,325,-6,331,199,93,225,73,256,33,9,36,95,34,77,35,18,-2,18
146,163,49,5996,323,-4,327,191,74,222,67,326,46,12,40,117,43,99,44,20,-8,19
109,147,53,5170,260,-16,276,47,172,172,42,207,42,7,65,108,22,22,90,16,-10,11
103,131,48,5234,248,-23,271,38,163,167,34,174,26,8,38,71,25,28,60,15,3,11
117,129,48,5199,257,-11,267,52,175,179,47,163,23,9,32,63,29,31,52,17,10,11
130,138,48,5419,281,-2,283,64,198,198,60,190,23,11,19,59,39,39,49,17,10,11
130,138,48,5419,281,-2,283,64,198,198,60,190,23,11,19,59,39,39,49,17,10,11
130,138,48,5419,281,-2,283,64,198,198,60,190,23,11,19,59,39,39,49,17,10,11
130,138,48,5419,281,-2,283,64,198,198,60,190,23,11,19,59,39,39,49,17,10,11
130,138,48,5419,281,-2,283,64,198,198,60,190,23,11,19,59,39,39,49,17,10,11
130,138,48,5419,281,-2,283,64,198,198,60,190,23,11,19,59,39,39,49,17,10,11
130,138,48,5419,281,-2,283,64,198,198,60,190,23,11,19,59,39,39,49,18,7,11
135,148,49,5683,294,-5,299,88,205,205,61,196,23,11,20,61,39,39,49,9,22,9
169,158,48,5888,327,3,325,239,90,239,90,190,34,3,68,95,12,95,12,10,18,9
169,164,48,5884,335,0,335,239,91,239,91,240,38,5,58,106,23,106,23,7,26,9
172,156,48,6020,330,6,324,245,92,245,92,138,25,2,61,64,11,64,11,7,26,9
172,156,48,6020,330,6,324,245,92,245,92,138,25,2,61,64,11,64,11,14,-25,10
116,163,52,5504,277,-35,312,179,90,184,43,204,20,12,15,57,42,56,54,14,-27,10
114,164,52,5509,275,-37,312,177,88,182,41,203,20,12,15,58,42,57,52,14,-27,10
113,162,52,5485,274,-37,311,40,124,181,40,214,26,13,19,68,44,52,68,,,10
,,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,27
