Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,85pr1,85pr2,85pr3,April precipitation,85pr5,85pr6,85pr7,85pr8,85pr9,October precipitation,85pr11,85pr12,ctn1,ctn3,ctn4,ctn5,ctn8,ctn9,ctn10,ctx1,ctx3,ctx4,ctx5,ctx8,ctx9,ctx10
180,166,49,6104,354,21,333,247,101,258,101,362,48,10,46,138,39,127,39,48,34,41,30,15,17,12,10,18,47,45,45,176,136,91,55,27,59,97,354,316,254,207,195,232,268
180,166,49,6104,354,21,333,247,101,258,101,362,48,10,46,138,39,127,39,48,34,41,30,15,17,12,10,18,47,45,45,176,136,91,55,27,59,97,354,316,254,207,195,232,268
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,166,49,6104,354,21,333,247,101,258,101,362,48,10,46,138,39,127,39,48,34,41,30,15,17,12,10,18,47,45,45,176,136,91,55,27,59,97,354,316,254,207,195,232,268
180,166,49,6104,354,21,333,247,101,258,101,362,48,10,46,138,39,127,39,48,34,41,30,15,17,12,10,18,47,45,45,176,136,91,55,27,59,97,354,316,254,207,195,232,268
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
194,162,49,5762,349,24,324,256,123,266,119,214,54,2,97,136,7,134,7,54,51,30,10,3,2,2,3,4,8,17,29,199,155,105,66,47,80,121,349,306,264,225,222,254,286
150,163,52,5605,315,2,313,214,117,222,78,251,27,15,20,79,51,78,66,27,27,25,16,15,22,24,20,15,16,21,24,144,109,66,30,10,27,64,315,276,229,182,166,198,236
150,163,52,5605,315,2,313,214,117,222,78,251,27,15,20,79,51,78,66,27,27,25,16,15,22,24,20,15,16,21,24,144,109,66,30,10,27,64,315,276,229,182,166,198,236
150,163,52,5605,315,2,313,214,117,222,78,251,27,15,20,79,51,78,66,27,27,25,16,15,22,24,20,15,16,21,24,144,109,66,30,10,27,64,315,276,229,182,166,198,236
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
146,161,52,5499,310,3,307,76,145,217,76,265,29,15,20,80,53,75,80,25,26,23,15,18,28,29,24,16,15,22,24,139,105,65,28,7,24,60,310,271,227,179,162,194,232
207,152,46,6283,367,37,330,285,124,285,124,181,40,2,78,101,10,101,10,40,35,22,9,3,4,4,2,7,11,18,25,218,178,127,81,60,98,139,367,324,273,225,223,260,297
207,152,46,6283,367,37,330,285,124,285,124,181,40,2,78,101,10,101,10,40,35,22,9,3,4,4,2,7,11,18,25,218,178,127,81,60,98,139,367,324,273,225,223,260,297
206,151,46,6013,367,40,327,279,126,279,126,362,74,4,80,201,17,201,17,74,68,43,19,6,5,8,4,10,25,41,58,211,179,129,83,60,95,135,367,325,273,227,221,260,291
206,151,46,6013,367,40,327,279,126,279,126,362,74,4,80,201,17,201,17,74,68,43,19,6,5,8,4,10,25,41,58,211,179,129,83,60,95,135,367,325,273,227,221,260,291
206,151,46,6013,367,40,327,279,126,279,126,362,74,4,80,201,17,201,17,74,68,43,19,6,5,8,4,10,25,41,58,211,179,129,83,60,95,135,367,325,273,227,221,260,291
206,151,46,6013,367,40,327,279,126,279,126,362,74,4,80,201,17,201,17,74,68,43,19,6,5,8,4,10,25,41,58,211,179,129,83,60,95,135,367,325,273,227,221,260,291
206,151,46,6013,367,40,327,279,126,279,126,362,74,4,80,201,17,201,17,74,68,43,19,6,5,8,4,10,25,41,58,211,179,129,83,60,95,135,367,325,273,227,221,260,291
200,158,47,6020,365,32,333,274,121,274,121,362,69,6,72,189,23,189,23,69,63,42,19,9,6,11,6,10,32,39,57,202,171,120,74,51,83,124,365,325,271,226,218,257,287
200,158,47,6020,365,32,333,274,121,274,121,362,69,6,72,189,23,189,23,69,63,42,19,9,6,11,6,10,32,39,57,202,171,120,74,51,83,124,365,325,271,226,218,257,287
200,158,47,6020,365,32,333,274,121,274,121,362,69,6,72,189,23,189,23,69,63,42,19,9,6,11,6,10,32,39,57,202,171,120,74,51,83,124,365,325,271,226,218,257,287
187,162,49,6013,352,22,330,262,110,262,110,339,63,6,65,166,24,166,24,63,54,38,20,9,6,10,8,16,30,37,49,189,155,99,58,36,69,109,352,316,261,215,208,244,273
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
148,163,51,5664,309,-5,314,221,81,221,76,335,46,14,37,126,48,126,51,46,42,35,24,14,15,19,17,21,26,37,38,145,111,61,25,3,29,66,309,274,227,181,168,200,232
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
180,152,47,6191,347,26,321,249,114,260,101,175,23,10,22,50,35,49,40,23,11,13,17,17,15,12,13,10,17,12,15,185,137,99,63,36,63,104,347,306,245,196,183,217,266
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
148,127,45,5532,305,28,277,84,182,222,79,200,25,11,27,73,36,42,65,14,16,13,17,25,25,23,17,14,13,12,11,156,118,82,52,32,49,79,305,257,206,155,143,177,218
148,127,45,5532,305,28,277,84,182,222,79,200,25,11,27,73,36,42,65,14,16,13,17,25,25,23,17,14,13,12,11,156,118,82,52,32,49,79,305,257,206,155,143,177,218
148,127,45,5532,305,28,277,84,182,222,79,200,25,11,27,73,36,42,65,14,16,13,17,25,25,23,17,14,13,12,11,156,118,82,52,32,49,79,305,257,206,155,143,177,218
148,127,45,5532,305,28,277,84,182,222,79,200,25,11,27,73,36,42,65,14,16,13,17,25,25,23,17,14,13,12,11,156,118,82,52,32,49,79,305,257,206,155,143,177,218
148,127,45,5532,305,28,277,84,182,222,79,200,25,11,27,73,36,42,65,14,16,13,17,25,25,23,17,14,13,12,11,156,118,82,52,32,49,79,305,257,206,155,143,177,218
148,127,45,5532,305,28,277,84,182,222,79,200,25,11,27,73,36,42,65,14,16,13,17,25,25,23,17,14,13,12,11,156,118,82,52,32,49,79,305,257,206,155,143,177,218
148,127,45,5532,305,28,277,84,182,222,79,200,25,11,27,73,36,42,65,14,16,13,17,25,25,23,17,14,13,12,11,156,118,82,52,32,49,79,305,257,206,155,143,177,218
153,123,45,5341,298,29,269,114,123,222,85,209,24,10,22,63,35,57,54,18,21,22,18,21,24,17,13,10,12,15,18,161,126,90,61,38,56,86,298,257,210,163,153,182,222
155,123,45,5344,299,30,269,116,124,224,86,209,24,10,22,63,35,57,54,18,21,22,18,21,24,17,13,10,12,15,18,162,127,91,62,39,57,87,299,258,211,165,154,183,224
153,123,45,5341,298,29,269,114,123,222,85,209,24,10,22,63,35,57,54,18,21,22,18,21,24,17,13,10,12,15,18,161,126,90,61,38,56,86,298,257,210,163,153,182,222
153,123,45,5341,298,29,269,114,123,222,85,209,24,10,22,63,35,57,54,18,21,22,18,21,24,17,13,10,12,15,18,161,126,90,61,38,56,86,298,257,210,163,153,182,222
203,148,51,4736,341,55,287,260,140,260,140,826,134,9,72,396,30,396,30,132,134,117,54,25,12,9,9,27,73,106,130,191,175,138,95,67,94,131,341,311,273,236,237,258,279
165,130,46,5144,325,45,280,206,102,233,102,867,128,31,32,298,132,297,132,80,89,128,81,72,51,50,31,60,69,82,75,166,150,107,72,48,62,85,325,280,223,188,169,193,224
197,136,48,4920,337,57,280,249,133,259,133,885,133,15,62,371,46,370,46,119,118,119,82,30,15,16,15,30,89,119,133,198,176,131,99,68,89,127,337,305,264,230,218,243,264
228,156,49,5546,373,58,315,283,153,293,153,434,93,6,84,257,22,225,22,93,81,83,27,16,8,8,6,8,21,34,51,224,195,148,103,85,124,162,373,333,293,254,263,299,326
228,156,49,5546,373,58,315,283,153,293,153,434,93,6,84,257,22,225,22,93,81,83,27,16,8,8,6,8,21,34,51,224,195,148,103,85,124,162,373,333,293,254,263,299,326
228,156,49,5546,373,58,315,283,153,293,153,434,93,6,84,257,22,225,22,93,81,83,27,16,8,8,6,8,21,34,51,224,195,148,103,85,124,162,373,333,293,254,263,299,326
228,156,49,5546,373,58,315,283,153,293,153,434,93,6,84,257,22,225,22,93,81,83,27,16,8,8,6,8,21,34,51,224,195,148,103,85,124,162,373,333,293,254,263,299,326
228,156,49,5546,373,58,315,283,153,293,153,434,93,6,84,257,22,225,22,93,81,83,27,16,8,8,6,8,21,34,51,224,195,148,103,85,124,162,373,333,293,254,263,299,326
228,156,49,5546,373,58,315,283,153,293,153,434,93,6,84,257,22,225,22,93,81,83,27,16,8,8,6,8,21,34,51,224,195,148,103,85,124,162,373,333,293,254,263,299,326
228,156,49,5546,373,58,315,283,153,293,153,434,93,6,84,257,22,225,22,93,81,83,27,16,8,8,6,8,21,34,51,224,195,148,103,85,124,162,373,333,293,254,263,299,326
238,140,46,5445,378,79,299,302,163,302,163,487,96,4,83,268,13,268,13,96,88,72,29,14,4,4,5,11,25,55,84,237,209,174,133,98,137,183,378,335,304,260,260,290,328
238,140,46,5445,378,79,299,302,163,302,163,487,96,4,83,268,13,268,13,96,88,72,29,14,4,4,5,11,25,55,84,237,209,174,133,98,137,183,378,335,304,260,260,290,328
173,163,49,6057,345,17,329,213,95,250,95,318,43,12,40,120,43,97,43,37,25,34,25,14,18,13,12,19,43,42,35,170,128,83,52,26,56,92,345,307,246,197,188,223,262
180,166,49,6104,354,21,333,247,101,258,101,362,48,10,46,138,39,127,39,48,34,41,30,15,17,12,10,18,47,45,45,176,136,91,55,27,59,97,354,316,254,207,195,232,268
173,163,49,6038,352,21,331,244,103,252,96,456,66,14,49,170,45,158,50,57,60,53,27,14,17,14,19,29,59,66,41,170,135,87,53,23,56,87,352,306,250,201,188,222,256
144,149,50,5723,308,15,293,80,181,218,73,211,40,10,49,95,32,33,86,12,10,12,18,29,40,26,20,12,11,10,11,140,102,66,38,18,29,60,308,276,215,160,143,173,229
140,133,46,5657,302,17,285,74,203,215,69,201,26,11,26,71,36,43,64,13,19,14,16,24,26,21,17,14,14,12,11,145,106,69,41,22,36,64,302,256,202,148,137,169,213
152,128,45,5511,305,26,278,87,152,224,82,205,23,11,20,63,37,56,55,18,21,18,17,22,23,18,14,11,13,13,17,159,122,83,55,34,51,82,305,260,210,161,151,181,223
160,133,46,5532,311,27,283,194,103,232,90,269,29,15,18,79,49,75,55,22,24,28,23,23,21,18,16,15,25,25,29,167,131,91,60,38,56,90,311,273,224,175,168,193,231
160,133,46,5532,311,27,283,194,103,232,90,269,29,15,18,79,49,75,55,22,24,28,23,23,21,18,16,15,25,25,29,167,131,91,60,38,56,90,311,273,224,175,168,193,231
160,133,46,5532,311,27,283,194,103,232,90,269,29,15,18,79,49,75,55,22,24,28,23,23,21,18,16,15,25,25,29,167,131,91,60,38,56,90,311,273,224,175,168,193,231
160,133,46,5532,311,27,283,194,103,232,90,269,29,15,18,79,49,75,55,22,24,28,23,23,21,18,16,15,25,25,29,167,131,91,60,38,56,90,311,273,224,175,168,193,231
160,133,46,5532,311,27,283,194,103,232,90,269,29,15,18,79,49,75,55,22,24,28,23,23,21,18,16,15,25,25,29,167,131,91,60,38,56,90,311,273,224,175,168,193,231
160,133,46,5532,311,27,283,194,103,232,90,269,29,15,18,79,49,75,55,22,24,28,23,23,21,18,16,15,25,25,29,167,131,91,60,38,56,90,311,273,224,175,168,193,231
160,133,46,5532,311,27,283,194,103,232,90,269,29,15,18,79,49,75,55,22,24,28,23,23,21,18,16,15,25,25,29,167,131,91,60,38,56,90,311,273,224,175,168,193,231
165,145,48,5813,325,24,301,202,105,240,91,279,30,13,20,85,49,76,55,23,22,29,25,22,24,18,13,18,26,29,30,168,129,85,58,34,53,89,325,287,232,180,176,200,245
198,154,46,6133,359,31,329,273,117,273,117,254,52,3,78,140,12,140,12,52,49,31,13,5,4,5,3,9,17,27,39,203,170,118,73,50,85,125,359,321,267,220,214,254,284
196,162,47,6102,365,25,340,271,116,271,116,314,58,5,66,157,25,157,25,58,51,34,14,10,5,13,7,10,32,32,48,196,166,113,67,44,76,117,365,326,269,223,215,255,283
206,150,46,6218,364,39,325,283,124,283,124,179,38,3,70,93,13,93,13,38,31,21,10,4,5,5,3,7,13,18,24,216,176,129,81,61,98,138,364,321,274,225,220,258,295
206,150,46,6218,364,39,325,283,124,283,124,179,38,3,70,93,13,93,13,38,31,21,10,4,5,5,3,7,13,18,24,216,176,129,81,61,98,138,364,321,274,225,220,258,295
150,163,51,5665,315,0,315,215,117,223,77,253,30,13,24,85,49,85,57,30,29,26,18,13,19,20,18,14,17,23,26,144,110,65,30,8,27,65,315,277,229,181,166,199,235
148,163,51,5670,313,-1,314,221,107,221,76,254,31,13,26,87,49,87,55,31,29,26,18,13,18,20,18,14,18,23,27,142,108,63,28,6,25,63,313,275,227,180,165,197,233
150,163,52,5605,315,2,313,214,117,222,78,251,27,15,20,79,51,78,66,27,27,25,16,15,22,24,20,15,16,21,24,144,109,66,30,10,27,64,315,276,229,182,166,198,236
