Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,December maximum temperature,October precipitation,May precipitation,April precipitation
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,201,13,24,18
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,218,12,20,18
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,252,22,21,18
133,49,4689,310,39,271,226,117,237,117,511,95,5,78,265,17,262,17,252,22,21,18
133,49,4689,310,39,271,226,117,237,117,511,95,5,78,265,17,262,17,252,22,21,18
159,52,5319,284,-18,302,183,57,193,57,292,46,10,41,104,37,88,37,252,22,21,18
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,252,22,21,23
155,50,5427,293,-14,307,190,63,198,59,387,61,12,48,157,43,130,43,252,22,21,18
140,51,4948,248,-23,271,37,147,157,32,267,46,11,50,120,35,35,105,252,22,21,18
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,252,23,22,18
135,48,5158,234,-42,276,42,140,148,15,167,21,9,26,57,30,35,49,270,21,7,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,272,36,15,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,277,19,6,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,277,19,6,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,231,23,18,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,230,24,18,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,228,23,22,17
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,252,23,22,14
147,50,5229,268,-22,290,108,62,180,47,245,35,12,26,79,45,58,49,270,21,7,14
143,48,5228,283,-11,294,192,67,201,67,320,67,5,79,169,16,169,16,272,36,15,14
151,49,5265,293,-14,307,202,69,202,69,358,67,6,66,169,28,169,28,277,19,6,14
138,47,5391,286,-6,292,196,69,207,69,256,57,4,74,132,17,130,17,277,19,6,16
138,47,5391,286,-6,292,196,69,207,69,256,57,4,74,132,17,130,17,231,23,18,18
151,52,4932,243,-43,286,147,54,156,29,345,48,18,31,127,63,113,71,230,24,18,18
152,52,4937,242,-45,287,145,53,154,27,344,48,18,32,126,61,114,69,228,23,22,18
